"Command","Class"
"advancedperipherals","-"
"advancement","-"
"ars-data","-"
"ars-pathing","com.hollingsworth.arsnouveau.common.command.PathCommand$$Lambda$30008/904102671"
"ars-reset","com.hollingsworth.arsnouveau.common.command.ResetCommand$$Lambda$30003/542475577"
"as","-"
"astralsorcery","-"
"attribute","-"
"back","dev.ftb.mods.ftbessentials.command.TeleportCommands$$Lambda$29355/440231936"
"bookshelf","-"
"bossbar","-"
"buildinggadgets","-"
"bwncr","-"
"c","-"
"cca_api","com.mrh0.createaddition.commands.CCApiCommand$$Lambda$30102/1764275359"
"chunks","-"
"clear","net.minecraft.command.impl.ClearCommand$$Lambda$28811/879154949"
"clone","-"
"cmdconfig","team.creative.creativecore.CreativeCore$$Lambda$32162/171545947"
"cofh","-"
"commoncapabilities","-"
"computercraft","dan200.computercraft.shared.command.builder.HelpingArgumentBuilder$HelpCommand"
"config","-"
"crashutilities","-"
"create","-"
"cu","-"
"cucumber","-"
"curios","-"
"cyclopscore","-"
"damagePart","-"
"data","-"
"datapack","-"
"debug","-"
"defaultgamemode","-"
"delhome","dev.ftb.mods.ftbessentials.command.HomeCommands$$Lambda$29341/625515351"
"delwarp","-"
"diet","-"
"difficulty","net.minecraft.command.impl.DifficultyCommand$$Lambda$28879/1728290349"
"dimteleport","-"
"dimtp","-"
"dsdump","-"
"effect","-"
"enchant","-"
"enderchest","dev.ftb.mods.ftbessentials.command.MiscCommands$$Lambda$29390/649807800"
"execute","-"
"experience","-"
"fill","-"
"flopper","-"
"fly","dev.ftb.mods.ftbessentials.command.CheatCommands$$Lambda$29370/605004417"
"flywheel","-"
"forceload","-"
"forge","-"
"ftbbackups","-"
"ftbchunks","-"
"ftblibrary","-"
"ftbquests","-"
"ftbranks","-"
"ftbteams","-"
"function","-"
"gamemode","-"
"gamerule","-"
"gendata","-"
"give","-"
"god","dev.ftb.mods.ftbessentials.command.CheatCommands$$Lambda$29373/1641194051"
"hat","dev.ftb.mods.ftbessentials.command.MiscCommands$$Lambda$29413/736126665"
"heal","dev.ftb.mods.ftbessentials.command.CheatCommands$$Lambda$29367/1787710732"
"help","net.minecraft.command.impl.HelpCommand$$Lambda$28942/1386278873"
"home","dev.ftb.mods.ftbessentials.command.HomeCommands$$Lambda$29336/2025502231"
"ie","-"
"integratedcrafting","-"
"integrateddynamics","-"
"integrateddynamicscompat","-"
"integratedterminals","-"
"integratedterminalscompat","-"
"integratedtunnels","-"
"integratedtunnelscompat","-"
"invsee","-"
"ip","-"
"kick","-"
"kickme","dev.ftb.mods.ftbessentials.command.MiscCommands$$Lambda$29388/1288227029"
"kill","net.minecraft.command.impl.KillCommand$$Lambda$28948/577440051"
"killall","azmalent.cuneiform.command.KillAllCommand$$Lambda$29950/987415823"
"killitems","azmalent.cuneiform.command.KillItemsCommand$$Lambda$29952/1665109753"
"kiwi","-"
"kjs_hand","dev.latvian.kubejs.command.KubeJSCommands$$Lambda$29335/1871333961"
"kubejs","-"
"leaderboard","-"
"list","net.minecraft.command.impl.ListCommand$$Lambda$28950/1403652821"
"listhomes","dev.ftb.mods.ftbessentials.command.HomeCommands$$Lambda$29344/787814405"
"listwarps","dev.ftb.mods.ftbessentials.command.WarpCommands$$Lambda$29354/945013241"
"locate","-"
"locatebiome","-"
"loot","-"
"lootr","noobanidus.mods.lootr.commands.CommandLootr$$Lambda$29833/1997859402"
"losttrinkets","-"
"mantle","-"
"me","-"
"mek","-"
"morpheus","net.quetzi.morpheus.commands.CommandMorpheus$$Lambda$29416/402340776"
"msg","-"
"mute","-"
"nbtpath","-"
"nbtprint","dicemc.dicemcpmmonbt.commands.PrintCommand"
"nbtreload","dicemc.dicemcpmmonbt.commands.ReloadCommand"
"nickname","dev.ftb.mods.ftbessentials.command.MiscCommands$$Lambda$29414/888129433"
"nicknamefor","-"
"ntp","org.infernalstudios.infernalexp.init.IECommands$$Lambda$32114/242478989"
"open-patchouli-book","-"
"particle","-"
"playsound","-"
"pmmo","-"
"publish","net.minecraft.command.impl.PublishCommand$$Lambda$29183/898259872"
"recipe","-"
"recording","dev.ftb.mods.ftbessentials.command.MiscCommands$$Lambda$29411/711825910"
"refinedstorage","-"
"reload","net.minecraft.command.impl.ReloadCommand$$Lambda$28999/1185351440"
"replaceitem","-"
"rpconfigreload","com.therandomlabs.randompatches.command.RPConfigReloadCommand$$Lambda$29427/1234835762"
"rtp","dev.ftb.mods.ftbessentials.command.TeleportCommands$$Lambda$29357/1860391374"
"say","-"
"schedule","-"
"scoreboard","-"
"season","-"
"seed","net.minecraft.command.impl.SeedCommand$$Lambda$29046/1735619750"
"set_damage","-"
"setblock","-"
"setdimensionspawn","org.infernalstudios.infernalexp.init.IECommands$$Lambda$32116/2083341916"
"sethome","dev.ftb.mods.ftbessentials.command.HomeCommands$$Lambda$29339/427687404"
"setwarp","-"
"setworldspawn","net.minecraft.command.impl.SetWorldSpawnCommand$$Lambda$29058/1254473965"
"sg_chaos","-"
"sg_soul","-"
"sgear_mats","-"
"sgear_parts","-"
"sgear_random_gear","-"
"sgear_stats","-"
"sgear_traits","-"
"sl_nbt","-"
"sl_tp","-"
"sledgehammer","io.github.lxgaming.sledgehammer.command.SledgehammerCommand$$Lambda$32175/382242318"
"spark","me.lucko.spark.forge.plugin.ForgeServerSparkPlugin"
"spawn","dev.ftb.mods.ftbessentials.command.TeleportCommands$$Lambda$29356/1356343552"
"spawnpoint","net.minecraft.command.impl.SpawnPointCommand$$Lambda$29053/1116693770"
"spectate","net.minecraft.command.impl.SpectateCommand$$Lambda$29063/1596238124"
"spreadplayers","-"
"stopsound","-"
"streaming","dev.ftb.mods.ftbessentials.command.MiscCommands$$Lambda$29412/181711663"
"summon","-"
"supplementaries","-"
"tag","-"
"team","-"
"teammsg","-"
"teleport","-"
"teleport_last","-"
"tell","-"
"tellme","-"
"tellme-reload","fi.dy.masa.tellme.command.CommandReloadConfig$$Lambda$29565/1944825078"
"tellraw","-"
"terra","-"
"theoneprobe","-"
"time","-"
"titanium-rewards","-"
"titanium-rewards-grant","-"
"title","-"
"tm","-"
"top","-"
"tp","-"
"tpa","-"
"tpaccept","-"
"tpahere","-"
"tpdeny","-"
"tpx","-"
"trashcan","dev.ftb.mods.ftbessentials.command.MiscCommands$$Lambda$29389/497389175"
"trigger","-"
"unmute","-"
"vampirism","-"
"vampirism-integrations","-"
"vampirism-test","-"
"w","-"
"warp","-"
"waypoint","-"
"weather","-"
"worldborder","-"
"worldstripper","com.ewyboy.worldstripper.common.commands.CommandCenter$$Lambda$30048/1025379547"
"wp","-"
"xp","-"
